OBJECTID,Project Address,Development Site Square Feet,Permit Number,Master User Permit Number,Permit Stage,Type of Permit,New Units Permitted,Demolished Units Permitted,Net Units Permitted,Sleeping Rooms Permitted,Permit Value,Type of Dwelling Unit,Type of Dwelling Unit per Code,Description of Work,Application Date,Issued Date,Year Issued,Final Date,Year Finaled,VILLNUMB,Urban Village Name,Urban Village Type,Comp Plan Name,Comp Plan Type,Community Reporting Area Number,Community Reporting Area,Neighborhood,Council District,Census Block 2010,Census Block Group 2010,GEOID10,SOURCE,XCOORD_StatePlane,YCOORD_StatePlane,MAF_ID,DevSite_ID,RecordNumber,STATUS_COLOR,Longitude,Latitude,Expiration Date,Zoning All Zones,Zoning Primary Zone,Zoning Report Zone,Zoning Category,Zoning Class,Parent Construction Permit,GEOID20,Census Block 2020,Census Block Group 2020,Quarter Issued,Quarter and Year Issued,Quarter Final,Quarter and Year Final,Condo Parcel or Plat (Y/N),Most Recent Inspection Date,Most Recent Inspection Type,x,y
7,10040 47TH AVE SW,29350,6603556,,Permit Finaled,Construction Permit,1,0,1,0,60000,ADU,"Accessory Dwelling, Attached","Alterations to main and lower floors of single family residence and create an accessory dwelling unit, per plans.",8/9/2018 12:00:00 AM,6/24/2019 12:00:00 AM,2019,8/22/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12100.1012,12100.1,530330121001012,ACC,1255092.44,190881.2,201635,DV0065491,6603556-CN,#001a73,-122.392651,47.51259487,8/24/2022 12:00:00 AM,SF 9600,SF 9600,SF 9600,SF 9600,SF,,530330121001009,12100.1009,12100.1,2,2019_2,3,2022_3,N,8/22/2022 12:00:00 AM,Building Final,1255092.43986247,190881.200056046
9,10044 RAVENNA AVE NE,7930,6814734,,Permit Finaled,Construction Permit,1,0,1,0,789942,ADU,"Accessory Dwelling, Attached","Establish use as single family residence and construct a one-family dwelling with an attached accessory dwelling unit and a detached accessory dwelling unit, per plans.",3/1/2021 12:00:00 AM,11/30/2021 12:00:00 AM,2021,8/7/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279728.3143,259673.9556,753507,DV0343939,6814734-CN,#001a73,-122.29827977,47.70248006,11/30/2024 12:00:00 AM,NR2,NR2,NR2,NR2,NR,,530330010002006,1000.2006,1000.2,4,2021_4,3,2023_3,Y,8/7/2023 12:00:00 AM,Building Final,1279728.31414706,259673.955514878
12,10046 RAVENNA AVE NE,9258,6814732,3036366,Permit Finaled,Construction Permit,1,0,1,0,788229,ADU,"Accessory Dwelling, Attached","Establish use as and construct single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU], per plan.",2/25/2021 12:00:00 AM,1/4/2022 12:00:00 AM,2022,5/25/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279802.9637,259696.5261,753508,DV0343941,6814732-CN,#001a73,-122.2979784,47.70254582,7/4/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330010002006,1000.2006,1000.2,1,2022_1,2,2023_2,Y,5/25/2023 12:00:00 AM,Building Final,1279802.96360406,259696.526007801
25,101 LYNN ST,4002,6760703,,Permit Finaled,Construction Permit,1,0,1,0,500000,ADU,"Accessory Dwelling, Attached","Establish use of AADU in basement, construct 2nd story addition and substantial alterations to existing single family residence, per plan.",3/16/2020 12:00:00 AM,7/8/2021 12:00:00 AM,2021,11/18/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,12.3,Queen Anne,Magnolia/Queen Anne,7,6800.1004,6800.1,530330068001004,ACC,1265212.897,236765.882,119671,DV0010076,6760703-CN,#001a73,-122.35537898,47.63891752,1/8/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330068001004,6800.1004,6800.1,3,2021_3,4,2022_4,N,11/18/2022 12:00:00 AM,Building Final,1265212.89698373,236765.881908551
32,10020 DIBBLE AVE NW,8421,6852862,,Permit Finaled,Construction Permit,1,0,1,0,451446,ADU,"Accessory Dwelling, Attached","Establish use as and construct new single family residence with attached accessory dwelling unit (AADU), per plan.",9/1/2021 12:00:00 AM,7/8/2022 12:00:00 AM,2022,8/28/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.3004,1400.3,530330014003004,ACC,1262782.655,259908.339,40000,DV0037797,6852862-CN,#001a73,-122.36710555,47.70221744,1/8/2024 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014003004,1400.3004,1400.3,3,2022_3,3,2023_3,N,8/28/2023 12:00:00 AM,Building Final,1262782.65512507,259908.338904381
33,10028 62ND AVE S,5299,6085768,,Permit Finaled,Construction Permit,1,0,1,0,186229,ADU,"Accessory Dwelling, Attached",Construct new SFR addition with breezeway attachment to existing single-family dwelling and establish existing single-family dwelling as an accessory dwelling unit per plan.,5/23/2006 12:00:00 AM,6/21/2006 12:00:00 AM,2006,6/4/2007 12:00:00 AM,2007,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.1,Rainier Beach,Southeast,2,11900.1024,11900.1,530330119001024,ACC,1288948.4814,189575.8472,206382,DV0068153,6085768-CN,#001a73,-122.25557981,47.51081481,12/21/2007 12:00:00 AM,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330119021007,11902.1007,11902.1,2,2006_2,2,2007_2,N,6/4/2007 12:00:00 AM,Building Final,1288948.48140223,189575.847351804
35,10029 11TH AVE NW,7086,6836724,3038023,Permit Finaled,Construction Permit,1,0,1,0,642319,ADU,"Accessory Dwelling, Attached","Establish use as and construct new single family residence with an attached accessory dwelling unit (AADU) and attached garage, per plan.  DADU constructed under permit 6819604-CN.",9/23/2021 12:00:00 AM,5/16/2022 12:00:00 AM,2022,10/12/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.4009,1400.4,530330014004009,ACC,1261968.896,259980.951,39976,DV1168163,6836724-CN,#001a73,-122.37041564,47.70237195,11/16/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014004010,1400.4010,1400.4,2,2022_2,4,2023_4,N,10/12/2023 12:00:00 AM,Building Final,1261968.8959258,259980.950963885
39,10037 41ST AVE SW,5291,6097382,,Permit Finaled,Construction Permit,1,0,1,0,20000,ADU,"Accessory Dwelling, Attached",Establish Accessory Dwelling Unit in basement of existing single family residence per plan.,5/5/2006 12:00:00 AM,5/9/2006 12:00:00 AM,2006,10/3/2006 12:00:00 AM,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.3020,12000.3,530330120003020,ACC,1257021,190864.15625,601698,DV0060547,6097382-CN,#001a73,-122.38484737,47.512655,11/9/2007 12:00:00 AM,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330120003020,12000.3020,12000.3,2,2006_2,4,2006_4,N,,,1257020.99998173,190864.156126887
43,10048 RAVENNA AVE NE,7770,6816777,3036366,Permit Finaled,Construction Permit,1,0,1,0,743117,ADU,"Accessory Dwelling, Attached","Establish use as single family residence with attached and detached accessory dwelling units and construct a 2-family dwelling with a detached one-family dwelling unit, per plans.",3/3/2021 12:00:00 AM,11/3/2021 12:00:00 AM,2021,7/19/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279732.2513,259732.7481,753509,DV0343938,6816777-CN,#001a73,-122.29826833,47.70264141,11/3/2024 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330010002006,1000.2006,1000.2,4,2021_4,3,2023_3,Y,7/19/2023 12:00:00 AM,Building Final,1279732.25114706,259732.748048216
47,1011 NE 100TH ST,5081,6804911,3037204,Permit Finaled,Construction Permit,2,0,2,0,507645,ADU,"Accessory Dwelling, Attached","Establish use as single-family residence with 2 attached accessory dwelling units (AADUs) and construct a townhouse structure, per plan.",1/12/2021 12:00:00 AM,9/8/2021 12:00:00 AM,2021,9/27/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.2003,2000.2,530330020002003,ACC,1275109.3291,259207.8347,755526,DV0347998,6804911-CN,#001a73,-122.31699862,47.70095985,3/8/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002006,2000.2006,2000.2,3,2021_3,3,2022_3,Y,9/27/2022 12:00:00 AM,Building Final,1275109.32896248,259207.834727973
49,1011 NE 103RD ST,7825,6768607,,Permit Finaled,Construction Permit,1,0,1,0,20000,ADU,"Accessory Dwelling, Attached","Construct alterations to convert basement to attached accessory dwelling unit (AADU) in existing single family residence, per plan.",2/24/2020 12:00:00 AM,4/16/2020 12:00:00 AM,2020,2/18/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,1200.1020,1200.1,530330012001020,ACC,1275075.798,259906.28,42852,DV0031855,6768607-CN,#001a73,-122.31718946,47.7028725,10/16/2021 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330012022004,1202.2004,1202.2,2,2020_2,1,2021_1,N,2/18/2021 12:00:00 AM,Building Final,1275075.79786156,259906.279853389
