OBJECTID,Project Address,Development Site Square Feet,Permit Number,Master User Permit Number,Permit Stage,Type of Permit,New Units Permitted,Demolished Units Permitted,Net Units Permitted,Sleeping Rooms Permitted,Permit Value,Type of Dwelling Unit,Type of Dwelling Unit per Code,Description of Work,Application Date,Issued Date,Year Issued,Final Date,Year Finaled,VILLNUMB,Urban Village Name,Urban Village Type,Comp Plan Name,Comp Plan Type,Community Reporting Area Number,Community Reporting Area,Neighborhood,Council District,Census Block 2010,Census Block Group 2010,GEOID10,SOURCE,XCOORD_StatePlane,YCOORD_StatePlane,MAF_ID,DevSite_ID,RecordNumber,STATUS_COLOR,Longitude,Latitude,Expiration Date,Zoning All Zones,Zoning Primary Zone,Zoning Report Zone,Zoning Category,Zoning Class,Parent Construction Permit,GEOID20,Census Block 2020,Census Block Group 2020,Quarter Issued,Quarter and Year Issued,Quarter Final,Quarter and Year Final,Condo Parcel or Plat (Y/N),Most Recent Inspection Date,Most Recent Inspection Type,x,y
6,1004 S DONOVAN ST,5974,6794165,,Permit Finaled,Construction Permit,1,0,1,0,233288,MIXED,"Accessory Dwelling, Detached","Construct (southwest) new single family residence with detached accessory dwelling unit, per plan, using standard plan 678415-CN. (Establish use as and construct 3 new single family residences with detached accessory dwelling units and processing of 3 AP'",10/28/2020 12:00:00 AM,1/19/2022 12:00:00 AM,2022,3/2/2023 12:00:00 AM,2023,128,South Park,Residential Urban Village,South Park,Residential Urban Villages,3.1,South Park,Greater Duwamish,1,11200.3007,11200.3,530330112003007,ACC,1273160.0102,195323.7818,755007,DV1196904,6794165-CN,#001a73,-122.31990227,47.52575194,7/19/2023 12:00:00 AM,RSL (M),RSL (M),RSL (M),RSL,SF,,530330112003005,11200.3005,11200.3,1,2022_1,1,2023_1,Y,3/2/2023 12:00:00 AM,Building Final,1273160.01035456,195323.781722054
10,10044 RAVENNA AVE NE,7930,6814734,,Permit Finaled,Construction Permit,1,0,1,0,789942,DADU,"Accessory Dwelling, Detached","Establish use as single family residence and construct a one-family dwelling with an attached accessory dwelling unit and a detached accessory dwelling unit, per plans.",3/1/2021 12:00:00 AM,11/30/2021 12:00:00 AM,2021,8/7/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279728.3143,259673.9556,753507,DV0343939,6814734-CN,#001a73,-122.29827977,47.70248006,11/30/2024 12:00:00 AM,NR2,NR2,NR2,NR2,NR,,530330010002006,1000.2006,1000.2,4,2021_4,3,2023_3,Y,8/7/2023 12:00:00 AM,Building Final,1279728.31414706,259673.955514878
13,10046 RAVENNA AVE NE,9258,6814732,3036366,Permit Finaled,Construction Permit,1,0,1,0,788229,DADU,"Accessory Dwelling, Detached","Establish use as and construct single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU], per plan.",2/25/2021 12:00:00 AM,1/4/2022 12:00:00 AM,2022,5/25/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279802.9637,259696.5261,753508,DV0343941,6814732-CN,#001a73,-122.2979784,47.70254582,7/4/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330010002006,1000.2006,1000.2,1,2022_1,2,2023_2,Y,5/25/2023 12:00:00 AM,Building Final,1279802.96360406,259696.526007801
14,10052 46TH AVE NE,9150,6802642,3037132,Permit Finaled,Construction Permit,1,0,1,0,87338,DADU,"Accessory Dwelling, Detached","Construct substantial alterations and second story addition to create new detached accessory dwelling unit (DADU) over existing detached garage and construct alterations to existing primary single family residence, per plan.",1/1/2021 12:00:00 AM,4/13/2021 12:00:00 AM,2021,5/3/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,7.4,Wedgwood/View Ridge,Northeast,5,2200.1000,2200.1,530330022001000,ACC,1284561.546,259680.548,45254,DV0029803,6802642-CN,#001a73,-122.2786548,47.70274865,10/13/2022 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330022001000,2200.1000,2200.1,2,2021_2,2,2022_2,N,5/3/2022 12:00:00 AM,Building Final,1284561.5459504,259680.548021391
15,10055 8TH AVE NW,7113,6625310,,Permit Finaled,Construction Permit,1,0,1,0,573234,DADU,"Accessory Dwelling, Detached","Establish use as and construct new single-family residence with new detached accessory dwelling unit, per plan.",1/18/2018 12:00:00 AM,10/29/2018 12:00:00 AM,2018,11/7/2019 12:00:00 AM,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.3004,1400.3,530330014003004,ACC,1262974.451,260259.859,39909,DV0035320,6625310-CN,#001a73,-122.36635521,47.70319141,4/29/2020 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014003004,1400.3004,1400.3,4,2018_4,4,2019_4,Y,11/7/2019 12:00:00 AM,Building Final,1262974.45100132,260259.85887064
18,1006 S DONOVAN ST,5974,6807685,,Permit Finaled,Construction Permit,1,0,1,0,212374,DADU,"Accessory Dwelling, Detached","Construct (north) new single family residence and detached accessory dwelling unit, per plan, using standard plan 678415-CN for the DADU. (Establish use as and construct 3 new single family residences with detached accessory dwelling units and processing ",12/29/2020 12:00:00 AM,1/19/2022 12:00:00 AM,2022,3/2/2023 12:00:00 AM,2023,128,South Park,Residential Urban Village,South Park,Residential Urban Villages,3.1,South Park,Greater Duwamish,1,11200.3007,11200.3,530330112003007,ACC,1273161.756,195394.6066,194279,DV1196904,6807685-CN,#001a73,-122.31990075,47.52594616,7/19/2023 12:00:00 AM,RSL (M),RSL (M),RSL (M),RSL,SF,6794165-CN,530330112003005,11200.3005,11200.3,1,2022_1,1,2023_1,Y,3/2/2023 12:00:00 AM,Building Final,1273161.75608598,195394.606711641
21,10063 DIBBLE AVE NW,8223,6802201,,Permit Finaled,Construction Permit,1,0,1,0,668246,DADU,"Accessory Dwelling, Detached","Establish use as and construct single-family residence w/ detached accessory dwelling unit (DADU), per plan",1/8/2021 12:00:00 AM,10/14/2021 12:00:00 AM,2021,12/5/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.3005,1400.3,530330014003005,ACC,1262637.473,260320.916,39885,DV1115447,6802201-CN,#001a73,-122.36772845,47.70334035,4/14/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014003005,1400.3005,1400.3,4,2021_4,4,2022_4,Y,12/5/2022 12:00:00 AM,Building Final,1262637.47300072,260320.916163221
23,1008 S DONOVAN ST,5974,6807684,,Permit Finaled,Construction Permit,1,0,1,0,233288,DADU,"Accessory Dwelling, Detached","Construct (southeast) new single family residence with detached accessory dwelling unit, per plan, using standard plan 678415-CN. (Establish use as and construct 3 new single family residences with detached accessory dwelling units and processing of 3 AP'",10/28/2020 12:00:00 AM,1/19/2022 12:00:00 AM,2022,2/28/2023 12:00:00 AM,2023,128,South Park,Residential Urban Village,South Park,Residential Urban Villages,3.1,South Park,Greater Duwamish,1,11200.3007,11200.3,530330112003007,ACC,1273185.1765,195322.6909,755008,DV1196904,6807684-CN,#001a73,-122.31980035,47.52575028,7/19/2023 12:00:00 AM,RSL (M),RSL (M),RSL (M),RSL,SF,6794165-CN,530330112003005,11200.3005,11200.3,1,2022_1,1,2023_1,Y,2/28/2023 12:00:00 AM,Building Final,1273185.17664281,195322.690844968
27,10105 33RD AVE SW,6300,6913898,,Permit Finaled,Construction Permit,1,0,1,0,165742,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit (DADU) accessory to single family residence, per standard plan 6794017-SP.",7/28/2022 12:00:00 AM,8/25/2022 12:00:00 AM,2022,3/16/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.1011,12000.1,530330120001011,ACC,1259575.7276,190812.6374,763465,DV1148084,6913898-CN,#001a73,-122.37450767,47.51265452,2/25/2024 12:00:00 AM,NR3,NR3,NR3,NR3,NR,,530330120001012,12000.1012,12000.1,3,2022_3,1,2023_1,Y,3/16/2023 12:00:00 AM,Building Final,1259575.72748381,190812.637529135
28,10108 34TH AVE SW,6300,6485604,,Permit Finaled,Construction Permit,1,0,1,0,25000,DADU,"Accessory Dwelling, Detached","Alterations to existing detached accessory structure to convert to DADU, per plan",9/1/2015 12:00:00 AM,10/16/2015 12:00:00 AM,2015,7/6/2016 12:00:00 AM,2016,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.1011,12000.1,530330120001011,ACC,1259484.67,190793.81,202790,DV0085767,6485604-CN,#001a73,-122.37487453,47.51259791,4/16/2017 12:00:00 AM,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330120001012,12000.1012,12000.1,4,2015_4,3,2016_3,N,7/6/2016 12:00:00 AM,Building Final,1259484.66992314,190793.810138971
30,10015 8TH AVE NE,7198,6770219,,Permit Finaled,Construction Permit,1,0,1,0,582221,DADU,"Accessory Dwelling, Detached","Establish use as and construct a single family residence and a detached accessory dwelling unit, per plans",5/6/2020 12:00:00 AM,9/30/2020 12:00:00 AM,2020,11/30/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,1200.2007,1200.2,530330012002007,ACC,1274212.506,259508.645,42975,DV0034323,6770219-CN,#001a73,-122.32066366,47.70173691,3/30/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330012023003,1202.3003,1202.3,3,2020_3,4,2021_4,Y,11/16/2021 12:00:00 AM,Site Final,1274212.50595297,259508.645149961
40,10039 13TH AVE NW,7654,6941082,,Permit Finaled,Construction Permit,1,0,1,0,184847,DADU,"Accessory Dwelling, Detached","Allow new detached accessory dwelling unit to existing single family use per land use code. Construct new one family dwelling, per plan.",2/21/2023 12:00:00 AM,6/8/2023 12:00:00 AM,2023,11/3/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.4014,1400.4,530330014004014,ACC,1261267.1678,260113.7127,767399,DV1091370,6941082-CN,#001a73,-122.37327574,47.70269739,12/8/2024 12:00:00 AM,NR2,NR2,NR2,NR2,NR,,530330014004015,1400.4015,1400.4,2,2023_2,4,2023_4,N,11/3/2023 12:00:00 AM,Building Final,1261267.16767047,260113.712837473
44,10048 RAVENNA AVE NE,7770,6816777,3036366,Permit Finaled,Construction Permit,1,0,1,0,743117,DADU,"Accessory Dwelling, Detached","Establish use as single family residence with attached and detached accessory dwelling units and construct a 2-family dwelling with a detached one-family dwelling unit, per plans.",3/3/2021 12:00:00 AM,11/3/2021 12:00:00 AM,2021,7/19/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,1000.2007,1000.2,530330010002007,ACC,1279732.2513,259732.7481,753509,DV0343938,6816777-CN,#001a73,-122.29826833,47.70264141,11/3/2024 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330010002006,1000.2006,1000.2,4,2021_4,3,2023_3,Y,7/19/2023 12:00:00 AM,Building Final,1279732.25114706,259732.748048216
45,10051 DIBBLE AVE NW,8166,6678324,,Permit Finaled,Construction Permit,1,0,1,0,28105,DADU,"Accessory Dwelling, Detached",Construct new detached accessory dwelling unit per standard plan 6647140.,8/27/2018 12:00:00 AM,10/13/2018 12:00:00 AM,2018,1/16/2019 12:00:00 AM,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.3005,1400.3,530330014003005,ACC,1262639.762,260197.831,39918,DV0059903,6678324-CN,#001a73,-122.36770919,47.70300311,4/13/2020 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014003005,1400.3005,1400.3,4,2018_4,1,2019_1,N,1/16/2019 12:00:00 AM,Building Final,1262639.76203814,260197.831107557
52,10114 DAYTON AVE N,6725,6811941,,Permit Finaled,Construction Permit,1,0,1,0,45000,DADU,"Accessory Dwelling, Detached",Construct substantial alterations to existing detached garage to create a detached accessory dwelling unit (DADU) at single family residence per plan.,2/9/2021 12:00:00 AM,4/1/2021 12:00:00 AM,2021,7/19/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3,Greenwood/Phinney Ridge,Northwest,5,1701.3010,1701.3,530330017013010,ACC,1266375.2546,259993.2977,761243,DV1218390,6811941-CN,#001a73,-122.35252485,47.70264565,4/1/2024 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330017013010,1701.3010,1701.3,2,2021_2,3,2023_3,N,7/19/2023 12:00:00 AM,Building Final,1266375.25456715,259993.297723964
61,10240 40TH AVE SW,5419,6779930,3036453,Permit Finaled,Construction Permit,1,0,1,0,617299,DADU,"Accessory Dwelling, Detached","Establish use as and construct a single-family residence with an attached accessory dwelling unit (AADU) and a detached accessory dwelling unit (DADU), per plan.",7/13/2020 12:00:00 AM,2/15/2021 12:00:00 AM,2021,3/28/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2010,12000.2,530330120002010,ACC,1257533.7395,190193.2556,754372,DV0344458,6779930-CN,#001a73,-122.38271835,47.51084443,8/15/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330120002009,12000.2009,12000.2,1,2021_1,1,2022_1,Y,3/28/2022 12:00:00 AM,Building Final,1257533.73944181,190193.255565807
62,10240 41ST AVE SW,6663,6881788,,Permit Finaled,Construction Permit,1,0,1,0,134056,DADU,"Accessory Dwelling, Detached","Construct DADU, per plan. (Construct attached and detached accessory dwelling units for existing single family residence, per plan. Reviews and processing for two -CN's under 6858189.)",6/2/2022 12:00:00 AM,6/6/2022 12:00:00 AM,2022,11/21/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2011,12000.2,530330120002011,ACC,1257246.4208,190236.4655,760516,DV1171383,6881788-CN,#001a73,-122.38388422,47.510947,12/6/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,6858189-CN,530330120002010,12000.2010,12000.2,2,2022_2,4,2022_4,Y,11/21/2022 12:00:00 AM,Building Final,1257246.42079073,190236.465453133
86,10213 40TH AVE SW,5332,6695785,,Permit Finaled,Construction Permit,1,0,1,0,396302,DADU,"Accessory Dwelling, Detached","Establish use as and construct a single-family residence with attached accessory dwelling unit (AADU). Construct a 2nd floor addition and substantial alterations to existing detached garage to create detached accessory dwelling unit (DADU), per plan",1/30/2019 12:00:00 AM,7/8/2019 12:00:00 AM,2019,6/24/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2011,12000.2,530330120002011,ACC,1257378.2226,190475.797,744169,DV0339559,6695785-CN,#001a73,-122.38337052,47.51161027,7/8/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330120002010,12000.2010,12000.2,3,2019_3,2,2021_2,Y,6/24/2021 12:00:00 AM,Building Final,1257378.22269247,190475.796995461
88,10217 40TH AVE SW,10663,6695786,,Permit Finaled,Construction Permit,1,0,1,0,424014,DADU,"Accessory Dwelling, Detached","Establish use as and construct a single-family residence with attached accessory dwelling unit (AADU) and detached accessory dwelling unit (DADU), per plan.",1/18/2019 12:00:00 AM,6/27/2019 12:00:00 AM,2019,6/24/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2011,12000.2,530330120002011,ACC,1257378.57,190450.82,202259,DV0045121,6695786-CN,#001a73,-122.38336708,47.51154183,6/27/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330120002010,12000.2010,12000.2,2,2019_2,2,2021_2,Y,6/24/2021 12:00:00 AM,Building Final,1257378.57013273,190450.820011303
91,10248 40TH AVE SW,6662,6782571,,Permit Finaled,Construction Permit,1,0,1,0,110093,DADU,"Accessory Dwelling, Detached","Construct 2nd story addition & substantial alterations to existing accessory building to create detached accessory dwelling unit (DADU) for a single family residence, per plan.",4/2/2021 12:00:00 AM,9/23/2021 12:00:00 AM,2021,7/26/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2010,12000.2,530330120002010,ACC,1257588.6201,190149.6514,761871,DV0344459,6782571-CN,#001a73,-122.38249278,47.51072794,3/23/2023 12:00:00 AM,NR3,NR3,NR3,NR3,NR,,530330120002009,12000.2009,12000.2,3,2021_3,3,2022_3,Y,7/26/2022 12:00:00 AM,Building Final,1257588.62023756,190149.651322305
95,1029 NE 100TH ST,5104,6747012,,Permit Finaled,Construction Permit,1,0,1,0,145803,DADU,"Accessory Dwelling, Detached","Construct addition and substantial alterations to an existing detached garage for a detached accessory dwelling unit, per plans",1/9/2020 12:00:00 AM,4/1/2020 12:00:00 AM,2020,12/3/2020 12:00:00 AM,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.2003,2000.2,530330020002003,ACC,1275226.316,259248.346,43052,DV1168332,6747012-CN,#001a73,-122.31652678,47.70107708,10/1/2021 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002006,2000.2006,2000.2,2,2020_2,4,2020_4,N,12/3/2020 12:00:00 AM,Building Final,1275226.31593323,259248.346129879
96,1029 NE 96TH ST,5110,6836156,,Permit Finaled,Construction Permit,1,0,1,0,163417,DADU,"Accessory Dwelling, Detached","Construct new detached accessory dwelling unit (DADU), per plan.",5/27/2021 12:00:00 AM,8/20/2021 12:00:00 AM,2021,6/13/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.2010,2000.2,530330020002010,ACC,1275228.853,258254.365,43369,DV1195645,6836156-CN,#001a73,-122.31643869,47.69835274,2/20/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002016,2000.2016,2000.2,3,2021_3,2,2022_2,Y,6/13/2022 12:00:00 AM,Building Final,1275228.85300164,258254.364850134
97,103 N 100TH ST,8630,6850875,,Permit Finaled,Construction Permit,1,0,1,0,44000,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit accessory to single family residence, per plans.",9/14/2021 12:00:00 AM,4/27/2022 12:00:00 AM,2022,9/15/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3,Greenwood/Phinney Ridge,Northwest,5,1702.1006,1702.1,530330017021006,ACC,1265040.5707,259467.6309,757693,DV1223863,6850875-CN,#001a73,-122.35790199,47.70113247,10/27/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330017021006,1702.1006,1702.1,2,2022_2,3,2023_3,N,9/15/2023 12:00:00 AM,Building Final,1265040.57055673,259467.630796298
101,10302 INTERLAKE AVE N,5157,6826700,,Permit Finaled,Construction Permit,1,0,1,0,317708,DADU,"Accessory Dwelling, Detached","Construct EAST single family residence with detached accessory dwelling unit (DADU), per plan (Establish use as and construct (2) single family residences with detached accessory dwelling units, review and process for 2 CN's under 6812685-CN)",3/4/2021 12:00:00 AM,12/27/2021 12:00:00 AM,2021,2/13/2023 12:00:00 AM,2023,101,Aurora-Licton Springs,Residential Urban Village,Aurora-Licton Springs,Residential Urban Villages,9.2,Licton Springs,Northwest,5,1300.1007,1300.1,530330013001007,ACC,1269421.2277,260201.1201,42169,DV1099557,6826700-CN,#001a73,-122.34017326,47.70337945,6/27/2023 12:00:00 AM,RSL (M),RSL (M),RSL (M),RSL,SF,6812685-CN,530330013001006,1300.1006,1300.1,4,2021_4,1,2023_1,Y,2/13/2023 12:00:00 AM,Building Final,1269421.2278059,260201.120142967
104,10303 12TH AVE NW,6848,6788591,,Permit Finaled,Construction Permit,1,0,1,0,286487,DADU,"Accessory Dwelling, Detached","Construct single-family residence with attached accessory dwelling unit [AADU], per plan. Existing single-family residence to be converted to detached accessory dwelling unit [DADU].",7/7/2020 12:00:00 AM,10/5/2020 12:00:00 AM,2020,4/30/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.4006,1400.4,530330014004006,ACC,1261656.912,260401.537,39876,DV0020591,6788591-CN,#001a73,-122.37171657,47.70350766,4/5/2022 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014004007,1400.4007,1400.4,4,2020_4,2,2021_2,Y,4/30/2021 12:00:00 AM,Building Final,1261656.91196972,260401.53706497
106,10303 WALLINGFORD AVE N,8610,6721362,,Permit Finaled,Construction Permit,1,0,1,0,123032,DADU,"Accessory Dwelling, Detached","Construct new detached accessory dwelling unit (DADU), per plan.",11/13/2019 12:00:00 AM,3/3/2020 12:00:00 AM,2020,3/9/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.2,Licton Springs,Northwest,5,1300.1009,1300.1,530330013001009,ACC,1270445.468,260202.795,42170,DV1101267,6721362-CN,#001a73,-122.33601443,47.70343894,3/3/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330013001008,1300.1008,1300.1,1,2020_1,1,2023_1,N,3/9/2023 12:00:00 AM,Building Final,1270445.46788339,260202.795008391
109,1032 36th AVE E,7201,6813215,,Permit Finaled,Construction Permit,1,0,1,0,50000,DADU,"Accessory Dwelling, Detached","Construct alterations to convert 2nd story of detached garage to a Detached Accessory Dwelling Unit, accessory to single family residence, per plan.",3/5/2021 12:00:00 AM,5/6/2021 12:00:00 AM,2021,10/27/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,6.5,Madison Park,East,3,6300.2028,6300.2,530330063002028,ACC,1282110.355,232597.015,127918,DV0064233,6813215-CN,#001a73,-122.28653105,47.62838617,11/6/2022 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330063004026,6300.4026,6300.4,2,2021_2,4,2023_4,N,10/27/2023 12:00:00 AM,Building Final,1282110.35498664,232597.014918223
110,10326 13TH AVE NW,6958,6863966,,Permit Finaled,Construction Permit,1,0,1,0,105387,DADU,"Accessory Dwelling, Detached","Construct garage/detached accessory dwelling unit accessory to single family residence, per plans. (Construct addition and alterations to existing single family residence and construct detached garage/detached accessory dwelling unit.  Reviews and process",10/15/2021 12:00:00 AM,1/26/2022 12:00:00 AM,2022,5/4/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.4006,1400.4,530330014004006,ACC,1261536.0726,260686.5831,758166,DV0064216,6863966-CN,#001a73,-122.37223038,47.70428233,7/26/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,6850910-CN,530330014004007,1400.4007,1400.4,1,2022_1,2,2023_2,N,5/4/2023 12:00:00 AM,Building Final,1261536.07264447,260686.583082795
116,10343 14TH AVE NW,7680,6804862,3032439,Permit Finaled,Construction Permit,1,0,1,0,597098,DADU,"Accessory Dwelling, Detached","Establish use as and construct a single-family residence and a detached accessory dwelling unit, per plan (Parcel C).",10/14/2020 12:00:00 AM,8/23/2021 12:00:00 AM,2021,1/4/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1600.1013,1600.1,530330016001013,ACC,1260910.89,260861.2349,753733,DV0346038,6804862-CN,#001a73,-122.37478319,47.70472674,2/23/2023 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330016001016,1600.1016,1600.1,3,2021_3,1,2023_1,Y,1/4/2023 12:00:00 AM,Building Final,1260910.88983972,260861.23496446
